"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "XML", "JSON", "Lua", "comment", "blank", "total"
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\css\test\move.css", "PostCSS", 0, 0, 0, 84, 0, 0, 0, 0, 13, 97
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\docs\events.md", "Markdown", 0, 0, 137, 0, 0, 0, 0, 0, 35, 172
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\docs\events_en.md", "Markdown", 0, 0, 133, 0, 0, 0, 0, 0, 34, 167
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\docs\events_uk.md", "Markdown", 0, 0, 133, 0, 0, 0, 0, 0, 34, 167
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\events and bonuses.json", "JSON", 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\banners\banners.lua", "Lua", 0, 0, 0, 0, 0, 0, 74, 0, 1, 75
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ico\ico old.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ico\ico.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ico\ico2.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\be.svg", "XML", 0, 0, 0, 0, 129, 0, 0, 0, 1, 130
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\en.svg", "XML", 0, 0, 0, 0, 61, 0, 0, 0, 0, 61
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\kk.svg", "XML", 0, 0, 0, 0, 26, 0, 0, 1, 1, 28
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\mo.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\ru.svg", "XML", 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\lang\uk.svg", "XML", 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\autor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\download.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\flag.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\gamemode.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\africa.svg", "XML", 0, 0, 0, 0, 787, 0, 0, 0, 19, 806
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\africaLow.svg", "XML", 0, 0, 0, 0, 67, 0, 0, 3, 3, 73
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\asiaLow.svg", "XML", 0, 0, 0, 0, 60, 0, 0, 3, 3, 66
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\europeLow.svg", "XML", 0, 0, 0, 0, 76, 0, 0, 3, 5, 84
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\latinAmericaLow.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 3, 3, 53
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\middleEastLow.svg", "XML", 0, 0, 0, 0, 31, 0, 0, 3, 3, 37
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\northAmericaLow.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 3, 3, 41
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\oceaniaLow.svg", "XML", 0, 0, 0, 0, 59, 0, 0, 3, 3, 65
